Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Tani Mayse,64317168,10,44,0,Yes,11250821,9250821,11,0,14,Yes,10391351,9266351,10,0,8,Yes,10523950,9266450,8,0,7,Yes,11963388,9269950,8,1,11,Yes,10696857,9270919,4,0,3,Yes,9490801,9271426,3,0,1
Chikiller,70264059,19,54,0,Yes,11842809,9642809,11,0,16,Yes,12022742,9647742,9,0,12,Yes,13040242,9647742,10,0,14,Yes,12347468,9654030,5,1,8,Yes,11355022,9654865,3,0,4,Yes,9655776,9655776,3,0,0
XCAL,77527972,22,87,0,Yes,12266008,9566008,13,0,21,Yes,12080975,9580975,10,0,13,Yes,12723210,9584460,10,0,15,Yes,14633047,9587421,11,1,20,Yes,13760327,9592200,7,0,11,Yes,12064405,9596435,5,0,7
Geralt of Rivia,52152860,15,39,0,Yes,10032399,8532399,9,0,15,No,2939481,1814481,6,0,6,Yes,9455144,8542644,6,0,5,Yes,10716992,8543554,5,0,8,Yes,10244813,8544656,4,0,4,Yes,8764031,8544656,3,0,1
Dârth Jungle Asian,68599488,18,54,0,Yes,11801069,9501069,11,0,17,Yes,11132844,9507844,9,0,9,Yes,12220200,9510200,9,0,13,Yes,12528376,9509938,9,0,10,Yes,10950187,9524249,5,0,3,Yes,9966812,9528062,4,0,2
DarthDax,80485788,46,76,0,Yes,13177075,10477075,13,0,21,Yes,12734132,10484132,10,0,11,Yes,13947507,10483757,11,0,14,Yes,14703157,10492375,10,1,16,Yes,12960382,10492412,6,0,7,Yes,12963535,10495565,4,0,7
Delara Exibil,78064495,42,74,0,Yes,12224109,9824109,10,0,18,Yes,12336652,9836652,9,0,13,Yes,13657902,9836652,10,0,16,Yes,14054433,9843651,9,0,16,Yes,12803184,9841620,4,0,6,Yes,12988215,9844570,4,0,5
Jonesmalones,84475424,85,81,2,Yes,13317118,11217118,12,0,18,Yes,13467118,11217118,10,0,13,Yes,14264618,11217118,9,0,15,Yes,15580854,11217728,9,1,16,Yes,14415152,11234213,8,0,10,Yes,13430564,11236813,8,0,9
WharfRat,68215082,14,53,0,Yes,11487765,9287765,12,0,16,Yes,10920415,9295415,9,0,9,Yes,11844358,9296858,8,0,11,Yes,12673528,9297590,8,1,12,Yes,10504408,9297845,4,0,2,Yes,10784608,9303826,3,0,3
Verage Valoor,64459069,38,39,0,Yes,11391601,9391601,10,0,14,Yes,10769457,9394457,9,0,7,Yes,10920082,9396332,7,0,9,Yes,11574647,9401209,5,1,8,Yes,10392907,9405719,3,0,1,Yes,9410375,9410375,2,0,0
Patrick4,63482315,21,58,5,No,5456141,3056141,10,0,18,Yes,11394727,9519727,9,0,10,Yes,11850977,9519727,8,0,10,Yes,11786602,9519727,8,0,10,Yes,12484122,9522558,4,0,6,Yes,10509746,9522558,3,0,4
Username,71791885,16,65,2,Yes,11847684,9547684,13,0,17,Yes,11551324,9551324,10,0,11,Yes,13040868,9560868,10,0,14,Yes,13579876,9564094,10,1,15,Yes,11269973,9569816,5,0,4,Yes,10502160,9569816,4,0,4
G4reth,70251852,7,58,0,Yes,11827119,9427119,11,0,18,Yes,11805587,9430587,9,0,12,Yes,12663258,9433258,9,0,13,Yes,12643121,9445933,9,0,11,Yes,11642790,9449039,3,0,3,Yes,9669977,9450602,2,0,1
Avatany,63311428,15,31,0,Yes,10714967,8814967,9,0,13,Yes,9620721,9370721,5,0,2,Yes,10972533,9373783,7,0,7,Yes,11769616,9376803,5,1,6,Yes,10856693,9375911,4,0,3,Yes,9376898,9376898,2,0,0
JediAhsoka,57230792,34,36,0,Yes,9815363,8015363,7,0,12,Yes,9394725,8019725,7,0,7,Yes,9455975,8019725,4,0,5,Yes,10595268,8023705,5,1,7,Yes,9450187,8024249,4,0,3,Yes,8519274,8025680,2,0,2
Yosh,59186770,12,24,0,Yes,10475481,8975481,8,0,12,Yes,9727369,8977369,5,0,3,Yes,9390011,8977511,4,0,3,Yes,10647199,8977511,5,0,5,Yes,9965451,8978263,1,0,1,Yes,8981259,8981259,1,0,0
OwningXylophone,66909756,20,51,0,Yes,11600699,9600699,10,0,14,Yes,10982716,9607716,9,0,10,Yes,11722716,9607716,7,0,12,Yes,11467821,9609227,6,1,10,Yes,11088918,9608136,4,0,3,Yes,10046886,9608136,3,0,2
Blattu,77923503,21,91,0,Yes,12323749,9523749,13,0,22,Yes,12025946,9525946,9,0,16,Yes,13171947,9529447,10,0,15,Yes,14401281,9534405,11,1,19,Yes,13986121,9543775,7,0,12,Yes,12014459,9546489,4,0,7
Javin Fis,70491094,9,66,1,Yes,11731848,9331848,11,0,18,Yes,11083265,9333265,9,0,13,Yes,11702015,9333265,8,0,11,Yes,12862749,9334467,7,1,12,Yes,12294861,9333297,4,0,6,Yes,10816356,9335574,4,0,6
Taco Hat,46902100,9,18,0,Yes,10009394,8809394,7,0,9,No,457576,207576,1,0,2,Yes,9313354,8809604,2,0,3,Yes,9495312,8812812,3,0,4,Yes,8813232,8813232,0,0,0,Yes,8813232,8813232,1,0,0
Rhil Margos,64480385,20,44,0,Yes,10751272,9151272,11,0,13,Yes,10778678,9153678,10,0,9,Yes,12027696,9155196,9,0,11,Yes,11892632,9158569,7,0,8,Yes,9652163,9158569,3,0,2,Yes,9377944,9158569,3,0,1
Tyron Brandt,85862791,17,86,0,Yes,13582577,10882577,13,1,21,Yes,13636671,10886671,11,0,14,Yes,14529812,10887312,10,0,15,Yes,14922957,10890925,10,1,15,Yes,15336006,10893660,7,0,12,Yes,13854768,10893204,5,0,9
Puck,79587361,22,79,0,Yes,12363436,9863436,12,0,19,Yes,12500369,9875369,11,0,13,Yes,13520274,9877774,10,0,15,Yes,13821902,9885339,9,1,15,Yes,13838563,9889811,6,0,10,Yes,13542817,9905578,5,0,7
RoTahn Taske,76684706,9,58,2,Yes,12987582,10287582,13,0,21,Yes,12289716,10289716,11,0,8,Yes,13574879,10289879,10,0,13,Yes,13828524,10290086,10,1,13,Yes,12265455,10291079,4,0,2,Yes,11738550,10295062,3,0,1
MINI DarthAzazel,75188701,27,67,0,Yes,12546320,10046320,13,0,19,Yes,11796320,10046320,10,0,10,Yes,13563820,10046320,10,0,14,Yes,14244129,10059753,10,1,15,Yes,12258688,10064937,7,0,6,Yes,10779424,10066455,5,0,3
JakeY,67144713,13,45,0,Yes,11787279,9787279,12,0,17,Yes,11289025,9789025,10,0,9,Yes,11313762,9790012,7,0,9,Yes,11963333,9789895,7,1,8,Yes,10997841,9791278,4,0,2,Yes,9793473,9793473,3,0,0
Skaar,74421639,66,76,12,Yes,11775987,9175987,12,0,20,Yes,11926107,9176107,9,0,14,Yes,11974464,9176964,9,0,13,Yes,13022505,9179379,9,1,13,Yes,13128629,9179877,6,0,10,Yes,12593947,9176083,5,0,6
Squanchy420,61637899,14,36,0,Yes,10294973,8694973,8,0,10,Yes,10320960,8695960,5,0,7,Yes,10383272,8697022,5,0,7,Yes,11543293,8697511,6,1,8,Yes,9903585,8697022,3,0,2,Yes,9191816,8698222,2,0,2
Q Ryker,61793017,25,38,1,Yes,10354129,8654129,7,0,11,Yes,10279805,8654805,7,0,9,Yes,10682305,8654805,7,0,9,Yes,11169691,8655003,5,0,7,Yes,10638664,8664288,2,0,2,Yes,8668423,8668423,1,0,0
T,70740807,23,63,0,Yes,11556428,9356428,11,0,16,Yes,11231428,9356428,10,0,11,Yes,11298538,9358538,9,0,9,Yes,13051369,9360587,9,0,13,Yes,13035169,9360636,6,0,9,Yes,10567875,9361312,5,0,5
manolis,65425593,16,45,0,Yes,11411911,9111911,11,0,17,Yes,10615326,9115326,9,0,8,Yes,11161392,9133892,6,0,9,Yes,11989830,9133892,7,1,9,Yes,10123567,9136379,3,0,1,Yes,10123567,9136379,2,0,1
BobbyMarshal,57901580,18,34,0,Yes,10347015,8247015,10,0,15,Yes,9880072,8255072,8,0,8,Yes,8727807,8227807,3,0,3,Yes,8749121,8255527,2,0,2,Yes,10726491,8258521,3,0,4,Yes,9471074,8264511,2,0,2
Scof,58774795,21,40,0,Yes,10039478,8039478,9,0,14,Yes,10040618,8040618,8,0,9,Yes,10418916,8046416,6,0,8,Yes,10605925,8091237,5,0,7,Yes,10084570,8110194,3,0,2,Yes,7585288,7585288,2,0,0
Tranced,82069660,41,93,0,Yes,12462351,9862351,12,0,20,Yes,12878653,9878653,10,0,17,Yes,13966115,9894865,11,0,18,Yes,14602755,9898379,10,1,18,Yes,14339961,9897615,7,0,12,Yes,13819825,9908367,5,0,8
Trask droll,73285457,45,55,0,Yes,12440094,10040094,13,1,18,Yes,11416392,10041392,10,0,7,Yes,12091628,10044128,5,0,9,Yes,13572410,10044128,8,1,12,Yes,12732533,10045188,5,0,5,Yes,11032400,10045212,4,0,4
Jeeves,72538569,21,61,0,Yes,12173785,9673785,12,0,19,Yes,11299292,9674292,8,0,9,Yes,12276887,9674387,9,0,12,Yes,13051963,9676025,9,1,12,Yes,12361915,9674570,4,0,5,Yes,11374727,9674570,3,0,4
Fidget92,68864781,12,50,0,Yes,11392353,9192353,11,0,16,Yes,11442353,9192353,9,0,11,Yes,12318648,9196148,9,0,12,Yes,11890497,9197059,9,1,8,Yes,11175909,9201533,4,0,2,Yes,10645021,9201533,2,0,1
Tyrian,46008363,31,29,0,Yes,9123763,7923763,8,0,9,Yes,8578298,7828298,8,0,6,No,1831051,1148551,5,0,4,Yes,9816629,7832097,5,0,6,Yes,7833890,7833890,1,0,0,Yes,8824732,7837544,3,0,4
Zarlis Rahn,68122503,3,69,0,Yes,11293719,8793719,12,0,19,Yes,10544057,8794057,9,0,10,Yes,11575307,8794057,9,0,13,Yes,12732080,8795517,9,1,15,Yes,10714451,8794919,5,0,5,Yes,11262889,8794919,4,0,7
Lambert,67742392,15,38,0,Yes,12027309,9827309,10,0,16,Yes,11209128,9834128,8,0,7,Yes,11273191,9836941,8,0,6,Yes,12351629,9836941,8,0,7,Yes,11043849,9837286,4,0,2,Yes,9837286,9837286,3,0,0
Nomad,69207885,29,62,0,Yes,11859166,9359166,12,0,19,Yes,10734166,9359166,10,0,9,Yes,10956012,9361012,8,0,9,Yes,13052587,9361805,9,1,13,Yes,11925575,9457605,6,0,7,Yes,10680379,9473816,4,0,5
JHang,67860723,24,54,0,Yes,10980449,8880449,10,0,15,Yes,11034147,8909147,8,0,10,Yes,11691204,8909954,8,0,10,Yes,12456638,8928356,7,1,12,Yes,11342072,8928946,4,0,4,Yes,10356213,8930275,3,0,3
