Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
LordPolunXo,33157961,7,10,0,Yes,9116167,7916167,6,0,9,No,59457,59457,0,0,0,Yes,7916167,7916167,0,0,0,No,0,0,0,0,0,Yes,7916167,7916167,0,0,0,Yes,8150003,7930628,2,0,1
XCAL,64706034,24,84,4,No,5030739,2530739,11,0,19,Yes,10472084,8847084,11,0,11,Yes,11712084,8847084,10,0,13,Yes,12607981,8854231,10,0,16,Yes,13558607,8854231,10,0,18,Yes,11324539,8856569,5,0,7
WinduFallen,55232573,39,44,0,Yes,8907893,7507893,8,0,11,Yes,8789907,7514907,9,0,8,Yes,8714127,7514127,6,0,6,Yes,9226046,7536046,5,0,7,Yes,10119375,7547812,6,0,7,Yes,9475225,7555693,4,0,5
Fidget92,50730276,13,46,1,No,3593466,1993466,7,0,10,No,3281371,1731371,5,0,7,Yes,10778967,8558967,9,0,9,Yes,11277982,8564232,9,0,10,Yes,11258222,8564784,9,0,8,Yes,10540268,8565892,3,0,2
Magnafael,61732886,21,65,1,No,5515611,3115611,11,0,18,Yes,11508485,9058485,12,0,15,Yes,11423485,9058485,10,0,12,Yes,12635719,9060719,10,0,15,Yes,10575625,9084687,3,1,4,Yes,10073961,9086773,4,0,1
Patrick4,64156857,31,56,12,Yes,10614203,8814203,10,0,15,Yes,10566730,8816730,10,0,12,Yes,10070480,8816730,7,0,8,Yes,10848814,8817564,7,0,9,Yes,12017363,8830331,7,0,10,Yes,10039267,8832704,4,0,2
Avatany,57330577,7,30,0,Yes,10151754,8751754,7,0,11,Yes,9421228,8771228,5,0,6,Yes,10022892,8772892,4,0,6,Yes,9618298,8773298,4,0,5,Yes,8806575,8806575,0,1,0,Yes,9309830,8816236,1,0,2
Kdizyl,53108275,9,22,0,Yes,9028634,7928634,7,0,8,Yes,8282952,7957952,8,0,3,Yes,8876869,7964369,7,0,4,Yes,8810608,7965608,5,0,2,Yes,10139223,7965785,5,0,5,Yes,7969989,7969989,3,0,0
Username,60600202,13,65,2,No,2774950,1474950,7,0,10,Yes,11118369,8818369,11,0,13,Yes,11377682,8816432,8,0,11,Yes,11880972,8825972,10,0,12,Yes,12698861,8829329,8,0,14,Yes,10749368,8829836,5,0,5
Tyrian,45182831,25,37,6,Yes,8148859,7348859,7,0,8,Yes,8206010,7356010,9,0,7,Yes,8290696,7358196,6,0,6,Yes,8548048,7361798,4,0,7,No,3134077,1149545,4,0,6,Yes,8855141,7374359,3,0,3
JediAhsoka,49303254,18,26,0,Yes,7407353,7207353,2,0,2,Yes,8282353,7207353,5,0,6,Yes,8034372,7209372,5,0,5,Yes,8217859,7210359,4,0,6,Yes,8415714,7239620,3,0,3,Yes,8945603,7245446,4,0,4
Tani Mayse,56615373,6,38,0,Yes,10431733,8431733,10,0,14,Yes,9134199,8434199,10,0,6,Yes,10010533,8435533,9,0,8,Yes,9455945,8448445,8,0,6,Yes,9131143,8448643,6,1,4,Yes,8451820,8451820,3,0,0
OwningXylophone,58680430,12,32,0,Yes,10196605,8896605,10,0,10,Yes,9774362,8899362,9,0,8,Yes,9654220,8900470,8,0,5,Yes,9747366,8902366,6,0,5,Yes,10394708,8903770,4,1,4,Yes,8913169,8913169,3,0,0
non7top,58982449,11,36,0,Yes,9968443,8568443,9,0,11,Yes,9818443,8568443,10,0,8,Yes,10143443,8568443,7,0,7,Yes,9579221,8571721,6,0,6,Yes,9900159,8571721,3,0,2,Yes,9572740,8585552,3,0,2
BobbyMarshal,53655299,10,43,0,Yes,9013842,7413842,9,0,13,Yes,8830221,7430221,7,0,9,Yes,8773855,7432605,5,0,6,Yes,8779014,7430264,4,0,5,Yes,9310779,7452185,5,0,7,Yes,8947588,7466806,3,0,3
Excessive Fist,44960725,8,32,0,No,1795424,995424,4,0,5,Yes,9171709,8021709,5,0,7,Yes,9795459,8021709,4,0,5,Yes,10231709,8021709,5,0,7,Yes,10032647,8021709,4,0,4,No,3933777,1465807,3,0,4
