Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
RoTahn Taske,75447621,9,60,5,Yes,12727086,10127086,12,0,20,Yes,12252086,10127086,10,0,10,Yes,13346983,10133233,9,0,13,Yes,13671914,10133476,10,1,13,Yes,12108336,10133960,4,0,2,Yes,11341216,10134653,2,0,2
Jonesmalones,84061023,79,72,2,Yes,13311886,11111886,12,0,16,Yes,12621679,11121679,6,0,9,Yes,14169802,11122302,10,0,15,Yes,15309924,11125548,9,1,15,Yes,15086026,11137274,7,0,10,Yes,13561706,11148580,7,0,7
Enigma,78463533,14,78,0,Yes,12631061,10231061,12,0,18,Yes,13108531,10233531,10,0,16,Yes,13881559,10239059,11,0,15,Yes,14454743,10243961,9,1,16,Yes,12931953,10244608,6,0,8,Yes,11455686,10249123,4,0,5
Rhil Margos,66080368,23,47,0,Yes,10781879,9081879,11,0,14,Yes,10834462,9084462,10,0,10,Yes,11960540,9088040,10,0,11,Yes,11613671,9098983,7,0,7,Yes,11566953,9098983,4,0,4,Yes,9322863,9103488,3,0,1
El Jefe,67079980,4,49,0,Yes,11356693,9156693,11,0,16,Yes,11197405,9197405,8,0,12,Yes,11566155,9197405,7,0,10,Yes,10872959,9203271,4,0,5,Yes,11397022,9203271,3,0,3,Yes,10689746,9208964,3,0,3
Jeeves,70962727,22,59,0,Yes,12116830,9616830,12,0,19,Yes,11125757,9625757,8,0,8,Yes,12411082,9629832,10,0,13,Yes,13351752,9634564,9,1,14,Yes,12320435,9633090,4,0,5,Yes,9636871,9636871,0,0,0
Kirath Tyria,72002213,20,55,0,Yes,12113278,9913278,12,0,16,Yes,11663700,9913700,9,0,10,Yes,13138373,9924623,10,0,13,Yes,13096271,9925489,8,1,10,Yes,11406624,9925842,3,0,3,Yes,10583967,9925842,4,0,3
G4reth,69837260,5,60,0,Yes,11761061,9261061,11,0,19,Yes,11639020,9264020,8,0,12,Yes,12187110,9298360,8,0,11,Yes,12676805,9300867,9,0,12,Yes,11773820,9305850,4,0,4,Yes,9799444,9305850,2,0,2
Tyrian,51315593,28,29,3,Yes,8488615,7788615,6,0,7,Yes,8663632,7788632,5,0,7,Yes,9073588,7799838,6,0,7,Yes,8980636,7804542,4,0,6,Yes,8300733,7807139,1,0,2,Yes,7808389,7808389,0,0,0
BobaChuck91,61772734,10,33,0,Yes,10041657,9141657,10,0,9,Yes,9645177,9145177,7,0,4,Yes,9971579,9146579,7,0,4,Yes,11355116,9155272,6,0,9,Yes,10855429,9155272,4,0,4,Yes,9903776,9190807,3,0,3
