Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
manolis,67930544,9,44,0,Yes,11831549,9531549,11,0,17,Yes,10781549,9531549,9,0,6,Yes,11630299,9531549,9,0,9,Yes,12569372,9534684,6,1,10,Yes,11544176,9569800,2,0,2,Yes,9573599,9573599,1,0,0
XCAL,79251713,24,87,0,Yes,12622358,9822358,13,0,22,Yes,12447358,9822358,11,0,16,Yes,13644193,9822943,10,0,16,Yes,14878974,9833348,11,1,20,Yes,14326439,9884093,7,0,12,Yes,11332391,9888903,1,0,1
G4reth,72533481,9,60,0,Yes,12293562,9793562,11,0,19,Yes,12422631,9797631,10,0,13,Yes,13279796,9799796,9,0,14,Yes,12998936,9801748,7,1,11,Yes,10044982,9825607,3,0,1,Yes,11493574,9830711,4,0,2
Patrick4,73308751,18,64,2,Yes,12049993,9749993,11,0,17,Yes,11750183,9750183,9,0,11,Yes,12549581,9752081,8,0,13,Yes,13457359,9766577,8,1,13,Yes,11502439,9802282,3,0,4,Yes,11999196,9805445,4,0,6
Avatany,47631240,19,25,0,No,5793452,4493452,7,0,10,Yes,10469873,9469873,7,0,5,Yes,10814873,9469873,4,0,5,Yes,10657352,9471102,3,1,4,Yes,9763923,9544548,3,0,1,No,131767,131767,0,0,0
Username,66760076,14,32,0,Yes,11024068,9724068,7,0,7,Yes,11849068,9724068,10,0,12,Yes,12026827,9729327,6,0,7,Yes,11892609,9729327,3,1,4,Yes,10203127,9764377,2,0,2,Yes,9764377,9764377,0,0,0
Tyrian,53365817,25,32,0,Yes,8953888,8053888,8,0,9,Yes,9180015,8055015,9,0,8,Yes,9401779,8056779,6,0,7,Yes,9235232,8059138,3,1,6,Yes,8297330,8077955,3,0,1,Yes,8297573,8078198,3,0,1
JediAhsoka,53082208,22,30,0,No,4425806,4025806,3,0,4,Yes,9698979,8198979,7,1,8,Yes,9727706,8203956,4,0,6,Yes,11276968,8211811,6,1,9,Yes,9714405,8233623,3,0,3,Yes,8238344,8238344,0,0,0
Yosh,52766504,27,26,0,No,4437597,2337597,9,0,15,Yes,10103354,9103354,6,0,5,Yes,9857524,9103774,7,0,5,Yes,9118173,9118173,0,0,0,Yes,10118522,9131334,1,0,1,Yes,9131334,9131334,1,0,0
Tani Mayse,66124377,7,46,0,Yes,11647707,9547707,12,0,15,Yes,11174070,9549070,11,0,8,Yes,11361520,9550270,8,0,10,Yes,11912245,9560057,8,1,9,Yes,10013933,9575183,4,0,2,Yes,10014902,9576152,4,0,2
