Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
manolis,58860694,11,38,0,Yes,11506583,9606583,11,0,13,Yes,11112026,9612026,7,0,8,Yes,11716591,9617841,7,0,9,No,4275426,1760738,6,1,7,Yes,10618628,9631440,4,0,1,Yes,9631440,9631440,1,0,0
XCAL,81303086,33,92,0,Yes,13013786,9913786,13,0,22,Yes,12920772,9920772,11,0,16,Yes,13400772,9920772,11,0,14,Yes,14967633,9922007,11,1,20,Yes,14373377,9931031,7,0,12,Yes,12626746,9939401,6,0,8
Darthsyn,67324029,30,56,1,Yes,11606316,9406316,13,0,19,Yes,11651013,9401013,10,0,14,Yes,12203603,9406103,9,0,13,Yes,10088619,9406119,3,1,4,Yes,12368021,9406457,4,0,6,Yes,9406457,9406457,0,0,0
G4reth,72675173,12,60,0,Yes,12280765,9880765,12,0,18,Yes,12130870,9880870,10,0,13,Yes,12509753,9891003,9,0,12,Yes,13094624,9897436,7,1,11,Yes,12316352,9903226,4,0,4,Yes,10342809,9904059,3,0,2
Patrick4,74678190,17,66,2,Yes,12206050,9906050,11,0,17,Yes,11917544,9917544,10,0,11,Yes,12719801,9922301,8,0,13,Yes,13798344,9928812,8,1,14,Yes,11908538,9934162,5,0,5,Yes,12127913,9934162,5,0,6
Avatany,56608472,15,37,0,Yes,11364698,9564698,9,0,12,Yes,10692113,9567113,9,0,8,Yes,11104800,9581050,5,0,6,Yes,10418183,9583339,3,1,4,Yes,11283539,9583382,3,0,4,No,1745139,1032170,3,0,3
Username,71190757,10,55,0,Yes,11885707,9785707,12,0,15,Yes,10912072,9787072,6,0,7,Yes,12405822,9787072,10,0,12,Yes,12957854,9787072,9,1,13,Yes,13242230,9787072,6,0,8,Yes,9787072,9787072,0,0,0
Tyrian,54585392,30,36,0,Yes,8984478,8084478,9,0,9,Yes,9459525,8084525,9,0,9,Yes,9434003,8089003,7,0,7,Yes,9281360,8105266,4,1,6,Yes,8821123,8108154,2,0,3,Yes,8604903,8111309,2,0,2
JediAhsoka,58351527,18,38,0,Yes,9689186,8289186,7,0,14,Yes,9666777,8291777,7,1,7,Yes,9567978,8294228,4,0,7,Yes,10120905,8298873,3,1,5,Yes,10009825,8309668,3,0,4,Yes,9296856,8309668,1,0,1
Yosh,53082648,15,27,0,No,4432354,2432354,9,0,14,Yes,9404506,9154506,7,0,2,Yes,10089944,9157444,3,0,6,Yes,10831600,9161912,4,0,5,Yes,9162122,9162122,0,0,0,Yes,9162122,9162122,1,0,0
Tani Mayse,65741102,7,41,0,Yes,11837330,9637330,12,0,16,Yes,11276483,9651483,11,0,8,Yes,11000956,9655956,9,0,7,Yes,11833522,9660084,8,1,8,Yes,9888935,9669560,4,0,1,Yes,9903876,9684501,4,0,1
