Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
XCAL,70079254,22,88,4,Yes,11279750,8879750,11,0,18,No,8532776,6357776,11,0,16,Yes,11761491,8896491,9,0,13,Yes,12485249,8910249,10,0,15,Yes,13616143,8911767,10,0,18,Yes,12403845,8948687,5,0,8
Isaac72,63981364,3,40,0,Yes,10310601,8910601,6,0,8,Yes,10067664,8917664,7,0,7,Yes,10417664,8917664,6,0,7,Yes,11293104,8920604,7,0,8,Yes,11273002,8920814,6,0,6,Yes,10619329,8919172,5,0,4
Fidget92,65570706,14,57,0,Yes,10879002,8579002,10,0,17,Yes,10331582,8581582,10,0,9,Yes,10844211,8586711,9,0,9,Yes,11138381,8587131,9,0,9,Yes,11784739,8587551,8,0,11,Yes,10592791,8618415,3,0,2
Patrick4,65702811,22,59,2,Yes,11000393,8900393,10,0,15,Yes,10701713,8901713,10,0,13,Yes,10905463,8901713,7,0,10,Yes,11461732,8910482,7,0,12,Yes,10444276,8876151,6,0,6,Yes,11189234,8995483,4,0,3
Magnafael,67674886,25,69,0,Yes,11740348,9140348,13,0,20,Yes,11715348,9140348,11,0,16,Yes,11664098,9140348,9,0,11,Yes,12385968,9168468,11,0,16,Yes,11000656,9168468,4,1,6,Yes,9168468,9168468,0,0,0
G4reth,67720956,3,65,0,Yes,11156585,8756585,10,0,18,Yes,11106585,8756585,10,0,14,Yes,11371585,8756585,8,0,11,Yes,11472278,8758528,8,0,10,Yes,11614466,8758528,7,0,9,Yes,10999457,8805706,3,0,3
Kÿłë škÿwäłkër,62835357,3,46,0,Yes,10906397,8806397,10,0,15,Yes,10306817,8806817,9,0,10,Yes,10470228,8807728,8,0,8,Yes,9658834,8813834,6,0,5,Yes,10484509,8814821,3,0,5,Yes,11008572,8814821,3,0,3
Avatany,51694443,7,24,0,No,3283270,1883270,7,0,8,Yes,9334731,8834731,6,0,4,Yes,9997231,8834731,5,0,6,Yes,8853383,8853383,0,0,0,Yes,9879640,8855890,4,0,3,Yes,10346188,8865406,2,0,3
Kdizyl,53105410,13,23,0,Yes,9194465,7994465,8,0,9,Yes,8830290,8005290,9,0,4,Yes,8506920,8006920,6,0,3,Yes,8516856,8013106,5,0,3,Yes,10024044,8013106,5,0,4,Yes,8032835,8032835,3,0,0
Username,51623700,31,48,11,No,4471787,2271787,10,0,16,No,4878406,2503406,10,0,14,Yes,11711159,8846159,8,0,13,Yes,10211159,8846159,2,0,2,Yes,10515847,8846159,2,0,2,Yes,9835342,8848154,1,0,1
Tyrian,44958105,27,38,4,Yes,8288554,7388554,7,0,9,No,2541553,1541553,5,0,8,Yes,8449330,7391830,5,0,7,Yes,8403253,7395753,4,0,6,Yes,9383022,7398490,4,0,6,Yes,7892393,7398799,3,0,2
JediAhsoka,49398542,17,31,0,Yes,8462203,7262203,6,0,9,Yes,8212203,7262203,6,0,5,Yes,8104526,7263276,5,0,6,Yes,8298594,7274844,4,0,6,Yes,8605352,7276914,4,0,3,Yes,7715664,7276914,2,0,2
