Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
manolis,67592965,7,39,0,Yes,12078396,9778396,10,0,17,Yes,10528396,9778396,10,0,5,Yes,11817703,9790203,8,1,9,Yes,11606141,9790203,6,0,6,Yes,10780754,9793566,3,0,1,Yes,10781575,9794387,2,0,1
Dava,67413977,80,47,0,Yes,11750511,9350511,12,0,18,Yes,10978618,9353618,9,0,9,Yes,11715719,9438219,8,0,10,Yes,10446392,9438892,7,0,6,Yes,10645830,9439267,2,0,2,Yes,11876907,9446231,4,0,2
XCAL,79522380,47,85,0,Yes,12826876,10026876,13,0,22,Yes,12652845,10027845,11,0,16,Yes,13600694,10029444,10,1,15,Yes,12572929,10031835,10,0,14,Yes,13706368,10031835,7,0,9,Yes,14162668,10031835,6,0,9
Darthsyn,67488990,36,53,2,Yes,11082317,9482317,10,0,16,Yes,11476011,9476011,7,0,11,Yes,12023511,9476011,10,1,12,Yes,10993355,9476011,4,0,8,Yes,10956793,9476011,3,0,3,Yes,10957003,9476221,3,0,3
G4reth,76045981,10,65,0,Yes,12591333,9991333,11,0,20,Yes,11996181,9996181,10,0,11,Yes,13477321,9997321,9,1,14,Yes,12701943,9998349,8,0,12,Yes,12411475,9998349,4,0,4,Yes,12867728,9998302,4,0,4
Patrick4,75680458,18,67,3,Yes,12669349,10069349,12,0,20,Yes,12201011,10076011,9,0,12,Yes,13295376,10156626,9,1,15,Yes,12556413,10163600,7,0,9,Yes,11373026,10166463,5,0,5,Yes,13585283,10167419,4,0,6
Avatany,45553011,12,22,0,No,3285684,1785684,8,0,12,Yes,9647965,9647965,0,0,0,No,42127,42127,0,0,0,Yes,10316057,9649807,6,0,4,Yes,11130589,9649807,3,0,3,Yes,11130589,9649807,2,0,3
Username,46511126,9,40,1,Yes,12379344,9879344,13,0,19,Yes,12504344,9879344,11,0,13,Yes,11748094,9879344,5,1,8,Yes,9879344,9879344,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
Tyrian,48485400,30,38,0,No,2499862,1499862,7,0,10,Yes,9409855,8159855,8,0,8,Yes,9596330,8160080,7,1,8,Yes,9169488,8161988,7,0,6,Yes,9151641,8164453,4,0,4,Yes,8658224,8164630,1,0,2
JediAhsoka,56432360,33,37,0,Yes,9885410,8385410,7,0,12,Yes,9260682,8385682,3,1,4,Yes,9208676,7252426,5,1,8,Yes,10072236,8402548,4,0,8,Yes,9110903,8397934,2,0,3,Yes,8894453,8400859,1,0,2
Yosh,60566161,15,30,0,Yes,10654295,9254295,8,0,11,Yes,9881686,9256686,4,0,5,Yes,11127008,9262008,7,0,8,Yes,10147843,9262218,5,0,5,Yes,9485481,9266106,2,0,1,Yes,9269848,9269848,0,0,0
Tani Mayse,67276813,7,45,0,Yes,12156984,9756984,12,0,18,Yes,11011602,9761602,11,0,8,Yes,11200650,9764400,8,1,8,Yes,10951712,9765462,9,0,7,Yes,11196033,9770095,4,0,3,Yes,10759832,9772644,4,0,1
non7top,56444053,20,42,0,No,1682163,782163,5,0,9,Yes,11455045,9455045,10,0,11,Yes,11393200,9456950,7,1,11,Yes,10805786,9457036,8,0,8,Yes,10444224,9457036,2,0,1,Yes,10663635,9457072,3,0,2
