Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
DarthDax,79106311,27,86,1,Yes,12978810,10178810,14,0,22,Yes,12556298,10181298,12,0,14,Yes,13524824,10193574,11,0,15,Yes,13751191,10192441,11,1,15,Yes,13412664,10195163,9,0,12,Yes,12882524,10195179,6,0,8
Puck,73672185,29,70,0,Yes,12005727,9605727,12,0,18,Yes,11959596,9609596,12,0,14,Yes,12599596,9609596,11,0,13,Yes,12667109,9612109,8,1,12,Yes,12626473,9614128,7,0,7,Yes,11813684,9619933,5,0,6
RoTahn Taske,75191907,10,67,2,Yes,12461210,10061210,13,0,18,Yes,12537590,10062590,12,0,15,Yes,12932745,10067745,11,0,13,Yes,13124629,10069629,9,1,12,Yes,12085594,10074656,8,0,7,Yes,12050139,10075763,4,0,2
BobbyMarshal,61153734,9,57,0,Yes,10170645,7970645,10,0,16,Yes,9779619,7979619,7,0,13,Yes,9882339,7983589,7,0,8,Yes,10015037,7983787,7,0,9,Yes,11137648,7987178,5,0,8,Yes,10168446,7974695,3,0,3
Delara Exibil,76967383,43,88,0,Yes,11931100,9531100,10,0,18,Yes,12391113,9541113,10,0,18,Yes,13265126,9558876,11,0,18,Yes,13653876,9558876,10,0,18,Yes,13196209,9568395,7,0,10,Yes,12529959,9568395,4,0,6
Blattu,79389294,13,109,0,Yes,12424657,9224657,13,0,23,Yes,12564438,9239438,13,0,20,Yes,12949544,9243294,12,0,18,Yes,13681617,9245367,11,1,20,Yes,14073425,9253267,10,0,16,Yes,13695613,9253267,7,0,12
Jonesmalones,77810889,74,90,1,No,5678166,3378166,12,0,17,Yes,13182011,11007011,11,0,16,Yes,14003517,11013517,11,0,16,Yes,14086149,11014899,8,1,15,Yes,15445394,11021330,9,0,14,Yes,15415652,11028150,9,0,12
Verage Valoor,62777253,40,41,0,Yes,10686021,9086021,10,0,13,Yes,10562052,9162052,8,0,9,Yes,10508697,9167447,8,0,8,Yes,10343562,9173562,5,1,7,Yes,10506006,9177568,4,0,3,Yes,10170915,9183727,2,0,1
Skaar,71756401,55,79,10,Yes,11526583,8926583,12,0,20,Yes,11609024,8934024,10,0,17,Yes,11505035,8943785,11,0,13,Yes,11822441,8946191,9,1,11,Yes,12891440,8942688,9,0,10,Yes,12401878,8946720,6,0,8
XCAL,66870204,27,101,3,No,6476154,3276154,13,0,23,No,6825279,3625279,13,0,19,Yes,12438234,9356984,12,0,14,Yes,13622225,9364725,11,1,19,Yes,14189859,9369701,9,0,16,Yes,13318453,9369701,6,0,10
Fidget92,20822977,23,25,0,No,3851943,2251943,7,0,10,No,1145056,695056,3,0,4,No,2974653,1450903,3,0,4,No,3798309,2108309,6,1,7,No,0,0,0,0,0,Yes,9053016,9053016,1,0,0
