Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
manolis,74018729,6,49,0,Yes,12745273,10245273,12,0,19,Yes,12018952,10268952,10,0,10,Yes,12801928,10270678,10,1,12,Yes,11469871,10283621,6,0,4,Yes,12263233,10288857,3,0,2,Yes,12719472,10288796,2,0,2
OwningXylophone,74096159,27,58,0,Yes,12397108,10397108,11,0,14,Yes,12399005,10399005,11,0,14,Yes,13290244,10401494,10,1,14,Yes,11749119,10400369,7,0,8,Yes,12374797,10400421,5,0,5,Yes,11885886,10405104,4,0,3
Delara Exibil,84092321,26,77,0,Yes,13437704,10637704,11,0,19,Yes,13270753,10645753,11,0,13,Yes,14469736,10648486,11,1,16,Yes,14738304,10649397,9,0,15,Yes,14104555,10649397,5,0,8,Yes,14071269,10653405,4,0,6
WharfRat,74287642,17,67,0,Yes,12714772,10114772,13,0,20,Yes,12365002,10115002,11,0,13,Yes,13757547,10115047,10,1,15,Yes,13002825,10120481,9,0,13,Yes,12318761,10125010,6,0,6,Yes,10128735,10128735,1,0,0
Verage Valoor,71034252,26,50,0,Yes,12512772,10212772,11,0,17,Yes,12213683,10213683,12,0,11,Yes,12081035,10216035,9,1,11,Yes,11576035,10227285,7,0,8,Yes,11435051,10228488,4,0,2,Yes,11215676,10228488,3,0,1
Dava,73496877,95,59,0,Yes,12532991,10032991,12,0,19,Yes,12166378,10041378,11,0,12,Yes,12937636,10048886,10,1,14,Yes,12564982,10050294,7,0,10,Yes,12247121,10053370,4,0,3,Yes,11047769,10060581,4,0,1
XCAL,86868535,57,95,0,Yes,13529269,10729269,13,0,22,Yes,13982368,10732368,12,0,18,Yes,14553959,10732709,11,1,16,Yes,15445905,10741529,10,0,18,Yes,14203570,10748412,8,0,11,Yes,15153464,10748412,6,0,10
Darthsyn,67888034,42,25,0,Yes,10157261,10157261,0,0,0,Yes,10407681,10157681,1,0,2,Yes,11863931,10157681,5,1,7,Yes,11677722,10160378,4,0,8,Yes,12135174,10160798,3,0,5,Yes,11646265,10165483,3,0,3
G4reth,78533642,8,64,0,Yes,12936209,10436209,11,0,19,Yes,12940184,10440184,10,0,12,Yes,13741434,10440184,9,1,13,Yes,13859953,10443390,8,0,12,Yes,13405303,10443739,4,0,6,Yes,11650559,10443996,4,0,2
Patrick4,77814940,6,66,0,Yes,12951581,10451581,12,0,19,Yes,12077760,10452760,8,0,8,Yes,13591720,10452970,9,1,15,Yes,12381310,10455685,6,0,11,Yes,12923655,10455685,6,0,7,Yes,13888914,10471050,5,0,6
