Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
XCAL,63129098,15,80,1,No,5086378,2586378,11,0,19,Yes,10861763,8786763,11,0,15,Yes,11403964,8788964,9,0,11,Yes,11599258,8869258,10,0,13,Yes,12897537,8808630,10,0,15,Yes,11280198,8812228,5,0,7
WinduFallen,53093137,37,42,0,Yes,8783284,7383284,8,0,11,Yes,8667837,7392837,8,0,8,Yes,8731396,7406396,7,0,7,Yes,9270693,7418193,6,0,8,Yes,8785278,7420278,6,0,5,Yes,8854649,7428711,3,0,3
Fidget92,61847344,14,43,0,Yes,9676522,8076522,8,0,10,Yes,10508990,8483990,9,0,11,Yes,10454212,8484212,7,0,7,Yes,10702480,8492480,7,0,7,Yes,11010380,8495692,6,0,7,Yes,9494760,8507572,3,0,1
Magnafael,71243917,17,74,0,Yes,11957276,9057276,12,0,20,Yes,11132345,9057345,12,0,12,Yes,12173485,9058485,10,0,14,Yes,12633485,9058485,10,0,15,Yes,12095090,9060402,7,1,10,Yes,11252236,9058485,4,0,3
Patrick4,56817667,18,59,4,No,4673372,2473372,10,0,16,No,8035444,6285444,10,0,12,Yes,10930085,8747585,7,0,11,Yes,11144772,8756022,7,0,11,Yes,11302867,8788179,7,0,7,Yes,10731127,8756751,3,0,2
Kdizyl,55171616,13,28,0,Yes,8954020,7854020,8,0,8,Yes,8407682,7857682,8,0,5,Yes,8862866,7862866,6,0,4,Yes,9218238,7869488,5,0,5,Yes,9882231,7871293,5,0,4,Yes,9846579,7872203,3,0,2
Username,60256460,13,64,2,No,5263861,2963861,11,0,17,Yes,10477031,8777031,8,0,8,Yes,11392173,8777173,9,0,11,No,10209233,7316733,8,0,11,Yes,12651456,8781924,9,0,14,Yes,10262706,8781924,3,0,3
Tyrian,40029679,16,34,3,Yes,8101625,7301625,8,0,8,No,2924181,1724181,8,0,10,Yes,7887949,7312949,4,0,4,No,5133685,4126185,4,0,6,Yes,8160561,7325717,4,0,4,Yes,7821678,7328084,2,0,2
JediAhsoka,48655315,17,31,1,Yes,8131918,7131918,6,0,10,Yes,7876849,6926849,6,0,5,Yes,8305100,7142600,4,0,5,Yes,8670776,7143276,4,0,6,Yes,8517812,7152812,4,0,5,Yes,7152860,7152860,1,0,0
Tani Mayse,56068102,9,34,0,Yes,9567161,8367161,10,0,9,Yes,8973307,8373307,10,0,5,Yes,9200554,8375554,8,0,6,Yes,9386768,8379268,8,0,6,Yes,10556467,8383029,7,0,8,Yes,8383845,8383845,3,0,0
OwningXylophone,58134034,12,34,0,Yes,10279304,8779304,10,0,12,Yes,9688327,8788327,9,0,8,Yes,9792077,8788327,7,0,7,Yes,9457682,8791432,5,1,4,Yes,10122541,8794103,5,0,3,Yes,8794103,8794103,3,0,0
non7top,53807951,10,52,0,Yes,10329007,8529007,9,0,15,Yes,9657841,8557841,10,0,7,Yes,10565158,8561408,8,0,10,No,2786905,1096905,6,0,10,Yes,10917020,8564832,6,0,9,Yes,9552020,8564832,3,0,1
BobbyMarshal,51902936,9,42,0,Yes,8766057,7366057,9,0,11,Yes,8875143,7375143,9,0,10,Yes,8572285,7372285,6,0,5,Yes,9251885,7383135,5,0,8,Yes,8560033,7383939,3,0,6,Yes,7877533,7383939,1,0,2
DarthDax,69658153,25,56,0,Yes,11200941,9400941,11,0,12,Yes,11161357,9411357,11,0,9,Yes,11919026,9411526,11,0,10,Yes,12474401,9419401,9,0,12,Yes,12490110,9424953,8,0,9,Yes,10412318,9425130,3,0,4
Blattu,68377502,7,76,0,Yes,11131831,8731831,11,0,18,Yes,10679208,8754208,12,0,14,Yes,10772866,8769116,10,0,10,Yes,12166878,8770628,9,0,14,Yes,12646593,8777061,8,1,14,Yes,10980126,8786375,4,0,6
Jonesmalones,61320964,41,77,0,No,5037176,2737176,11,0,17,Yes,12262960,10412960,9,0,13,Yes,12292100,10413350,8,0,10,Yes,13539433,10468183,8,0,15,Yes,13811793,10435855,9,1,15,No,4377502,1909532,6,0,7
Javin Fis,65645867,7,73,0,Yes,11196333,8696333,11,0,19,Yes,10672962,8697962,10,0,14,Yes,10952738,8698988,8,0,12,Yes,10750340,8702840,7,0,12,Yes,11889872,8702840,8,0,13,Yes,10183622,8702840,3,0,3
Taco Hat,54350556,5,23,0,Yes,9307927,8207927,7,0,8,Yes,8684251,8209251,9,0,4,Yes,8713001,8209251,4,0,3,Yes,8884765,8218515,3,0,4,Yes,9550931,8222493,4,0,3,Yes,9209681,8222493,2,0,1
Hego Damask,69806566,30,78,0,Yes,11817169,9117169,12,0,21,Yes,10923538,9123538,12,0,13,Yes,11203476,9128476,11,0,12,Yes,11844892,9131142,9,0,13,Yes,13183075,9151043,10,0,15,Yes,10834416,9134259,5,0,4
Scof,51836312,18,25,0,Yes,9115512,7415512,9,0,11,Yes,7919043,7419043,5,0,1,Yes,8331543,7419043,5,0,4,Yes,8605502,7419252,5,0,4,Yes,9444231,7433293,3,0,4,Yes,8420481,7433293,3,0,1
Rhil Margos,61945994,22,47,0,Yes,10644918,8644918,10,0,14,Yes,9574584,8649584,10,0,8,Yes,10744584,8649584,9,0,8,Yes,9835834,8649584,7,0,7,Yes,11507307,8651369,7,0,9,Yes,9638767,8651579,3,0,1
Puck,68883214,11,55,0,Yes,11199764,9099764,10,0,15,Yes,11178607,9153607,10,0,11,Yes,11664086,9156586,9,0,10,Yes,11545649,9173149,7,1,8,Yes,11917710,9183647,7,0,8,Yes,11377398,9183647,4,0,3
RoTahn Taske,65286171,10,59,1,No,5089066,2989066,12,0,15,Yes,11007613,9632613,11,0,9,Yes,12390471,9632971,9,0,12,Yes,12337974,9640474,8,0,10,Yes,12837662,9640474,9,0,11,Yes,11623385,9649009,4,0,2
MINI DarthAzazel,60915343,20,59,0,Yes,11395397,9295397,10,0,15,Yes,10306585,9306585,9,0,9,Yes,10969085,9306585,8,0,8,Yes,11681735,9309235,7,0,11,No,5772059,2432683,8,1,10,Yes,10790482,9309700,6,0,6
Tranced,67942337,26,67,0,Yes,11158930,8858930,11,0,17,Yes,10462518,8862518,11,0,11,Yes,11299091,8862841,9,0,10,Yes,12279159,8866659,9,1,14,Yes,12394614,8866332,8,0,12,Yes,10348025,8867243,3,0,3
Delara Exibil,69364865,26,63,0,Yes,11254222,9054222,9,0,16,Yes,11154597,9054597,8,0,12,Yes,11526515,9090265,9,0,10,Yes,12296462,9062712,8,0,13,Yes,12096273,9061585,7,0,10,Yes,11036796,9062420,3,0,2
ArtVandalay,59969995,7,56,0,Yes,10098938,8198938,9,0,16,Yes,9951830,8201830,10,0,12,Yes,9276830,8201830,5,0,6,Yes,10396567,8202817,7,0,10,Yes,10062578,8203984,7,0,7,Yes,10183252,8208876,4,0,5
WharfRat,59680242,22,43,0,Yes,9827729,8327729,9,0,12,Yes,9728750,8328750,10,0,9,Yes,9659709,8334709,7,0,6,Yes,10036295,8346295,7,0,7,Yes,10861556,8346868,6,0,7,Yes,9566203,8359640,4,0,2
Verage Valoor,57747146,19,36,0,Yes,9874381,8474381,10,0,11,Yes,9264737,8489737,9,0,7,Yes,9403480,8490980,5,0,6,Yes,9509407,8501907,4,1,6,Yes,10188598,8518910,4,0,5,Yes,9506543,8519355,2,0,1
Skaar,54922782,28,73,3,No,5228285,2828285,11,0,18,Yes,10811057,8311057,10,0,15,Yes,10496060,8313560,8,0,11,No,5371061,2316061,8,0,12,Yes,11510222,8323190,7,0,10,Yes,11506097,8325158,5,0,7
