Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Mugami Chinzano,52342774,24,0,0,Yes,8721795,8721795,0,0,0,Yes,8723792,8723792,0,0,0,Yes,8724002,8724002,0,0,0,Yes,8724002,8724002,0,0,0,Yes,8724002,8724002,0,0,0,Yes,8725181,8725181,0,0,0
Daggo,53988576,10,14,0,Yes,9309239,8609239,3,0,4,Yes,9659239,8609239,5,0,6,Yes,8609239,8609239,1,0,0,Yes,8862441,8612441,1,1,2,Yes,8774209,8611709,1,0,1,Yes,8774209,8611709,2,0,1
A1Savage,40790305,17,5,0,Yes,8356587,8056587,2,0,3,Yes,8256587,8056587,1,0,2,Yes,8056587,8056587,0,0,0,No,0,0,0,0,0,Yes,8059770,8059770,0,0,0,Yes,8060774,8060774,0,0,0
Falen Lacer,50970840,8,22,0,Yes,8553380,7953380,4,0,6,Yes,8384046,7959046,4,0,4,Yes,8209805,7959805,4,0,1,Yes,9051055,7959805,5,0,6,Yes,8123141,7960641,2,0,1,Yes,8649413,7966913,3,0,4
MINIxurkthan,57244477,12,37,0,Yes,10479542,8179542,9,0,14,Yes,9891300,8166300,7,0,9,Yes,9701562,8177812,7,0,5,Yes,9437707,8163957,3,1,4,Yes,9210487,8186737,3,0,3,Yes,8523879,8182629,2,0,2
Skcampy,46719712,0,8,0,Yes,9765211,9165211,3,0,6,Yes,9165211,9165211,0,0,0,Yes,9292108,9167108,2,0,1,Yes,9167341,9167341,0,0,0,Yes,9329841,9167341,1,0,1,No,0,0,0,0,0
DonKeyHoeTae,31837607,19,4,0,Yes,7725815,7725815,0,0,0,Yes,8576561,7726561,3,0,4,Yes,7726561,7726561,0,0,0,No,70325,70325,0,0,0,Yes,7738345,7738345,0,0,0,No,0,0,0,0,0
OhMyPretzel,37542489,13,24,0,Yes,8587465,6887465,10,0,17,Yes,6887465,6887465,1,0,0,No,238680,238680,0,0,0,Yes,7387465,6887465,2,1,3,Yes,7212582,6887582,2,0,2,Yes,7228832,6887582,1,0,2
Reaper1010,45657677,2,23,0,Yes,9092038,8492038,3,0,6,Yes,9018964,8493964,5,0,5,Yes,9335214,8493964,4,0,5,Yes,9335214,8493964,4,0,5,No,0,0,0,0,0,Yes,8876247,8494372,4,0,2
pablomash,51482362,0,0,0,Yes,8571232,8571232,0,0,0,Yes,8572978,8572978,0,0,0,Yes,8584538,8584538,0,1,0,Yes,8584538,8584538,0,0,0,Yes,8584538,8584538,0,0,0,Yes,8584538,8584538,0,0,0
