Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Nolangoat,21410760,3,18,0,Yes,7293565,6293565,6,0,10,No,435033,185033,1,0,2,Yes,6884831,6293581,2,0,3,Yes,6797331,6293581,2,0,3,No,0,0,0,0,0,No,0,0,0,0,0
Yania May,51533487,19,2,0,Yes,8526884,8526884,0,0,0,Yes,8785192,8535192,1,0,2,Yes,8545085,8545085,0,0,0,Yes,8553192,8553192,0,1,0,Yes,8560273,8560273,1,0,0,Yes,8562861,8562861,0,0,0
Mugami Chinzano,52822689,28,0,0,Yes,8803311,8803311,0,0,0,Yes,8803311,8803311,0,0,0,Yes,8803311,8803311,0,0,0,Yes,8803876,8803876,0,0,0,Yes,8804440,8804440,0,0,0,Yes,8804440,8804440,0,0,0
Daggo,46273797,19,11,0,Yes,10375921,8975921,6,0,11,Yes,8977726,8977726,0,0,0,Yes,8978866,8978866,0,0,0,Yes,8970642,8970642,0,1,0,Yes,8970642,8970642,0,0,0,No,0,0,0,0,0
A1Savage,34399021,14,5,0,Yes,8741125,8441125,2,0,3,Yes,8662153,8462153,1,0,2,No,35358,35358,0,0,0,Yes,8479761,8479761,0,0,0,No,0,0,0,0,0,Yes,8480624,8480624,0,0,0
Falen Lacer,44692460,7,24,0,Yes,8734610,8034610,4,0,7,Yes,8684610,8034610,5,0,6,No,1330542,1205542,5,0,1,Yes,8880468,8039218,5,0,5,Yes,8528068,8040568,3,0,3,Yes,8534162,8040568,2,0,2
MINIxurkthan,63344399,9,46,0,Yes,11251671,8751671,10,0,16,Yes,10513406,8738406,7,0,9,Yes,10513819,8740069,6,0,7,Yes,11030448,8732948,5,1,7,Yes,10097788,8732788,3,0,5,Yes,9937267,8730704,2,0,2
Skcampy,47477602,3,8,0,Yes,9906915,9306915,3,0,6,Yes,9556915,9306915,1,0,2,Yes,9333493,9333493,0,0,0,Yes,9338257,9338257,0,0,0,Yes,9342022,9342022,0,0,0,No,0,0,0,0,0
DonKeyHoeTae,58090014,37,25,0,Yes,10237485,8737485,8,0,9,Yes,9852123,8752123,4,0,6,Yes,9431789,8749289,3,0,1,Yes,10114499,8749499,4,0,5,Yes,8769849,8769849,0,0,0,Yes,9684269,8751925,4,0,4
OhMyPretzel,49878841,7,34,0,Yes,9409531,7509531,11,0,16,Yes,8260038,7510038,3,0,6,Yes,8601288,7510038,4,0,6,Yes,8368274,7527024,3,1,5,Yes,7701105,7538605,1,0,1,Yes,7538605,7538605,0,0,0
Reaper1010,58108573,3,41,1,Yes,10857646,8657646,10,0,16,Yes,9308216,8658216,6,0,6,Yes,9500377,8659127,4,0,5,Yes,9662877,8659127,5,0,6,Yes,9671747,8664247,5,0,6,Yes,9107710,8668960,3,0,2
pablomash,54365481,25,3,0,Yes,9556427,8956427,3,0,3,Yes,8960326,8960326,0,0,0,Yes,8961237,8961237,0,1,0,Yes,8962497,8962497,0,0,0,Yes,8962497,8962497,0,0,0,Yes,8962497,8962497,0,0,0
Ransom23,41240657,0,32,0,Yes,10477950,9077950,7,0,14,Yes,9353350,9103350,1,0,2,No,1353907,512657,3,0,5,Yes,10107100,9103350,4,0,6,Yes,9948350,9103350,3,0,5,No,0,0,0,0,0
Salvare,50793195,9,26,1,Yes,10961815,9061815,8,0,13,Yes,9937153,9062153,4,0,4,Yes,10244653,9062153,4,0,3,Yes,10585903,9062153,4,1,6,Yes,9063671,9063671,0,0,0,No,0,0,0,0,0
Zazztrain,68652268,29,56,0,Yes,11474103,9274103,11,0,16,Yes,10524820,9274820,5,0,7,Yes,10890976,9275976,6,1,6,Yes,12163921,9275171,9,0,10,Yes,11822583,9307895,8,0,10,Yes,11775865,9307895,4,0,7
ItzBerndern,69612750,26,43,2,Yes,12239144,10139144,10,1,12,Yes,11264144,10139144,4,0,9,Yes,12821644,10139144,8,0,12,Yes,12849144,10139144,8,1,10,Yes,10219337,10219337,0,0,0,Yes,10219337,10219337,0,0,0
Aceth,46010499,0,5,0,Yes,7970057,7570057,2,0,4,Yes,7578968,7578968,0,0,0,Yes,7704955,7579955,2,0,1,Yes,7582176,7582176,0,0,0,Yes,7586381,7586381,0,0,0,Yes,7587962,7587962,0,0,0
Trate Daxson,51405332,4,9,0,Yes,8788930,8388930,2,0,4,Yes,8940559,8390559,3,0,5,Yes,8390559,8390559,0,0,0,Yes,8428362,8428362,0,1,0,Yes,8428362,8428362,0,0,0,Yes,8428560,8428560,0,0,0
Excelsior 101,32913988,1,2,0,No,3681516,3681516,0,0,0,No,0,0,0,0,0,Yes,7198659,7198659,0,0,0,Yes,7456492,7206492,1,0,1,Yes,7368992,7206492,1,0,1,Yes,7208329,7208329,0,0,0
FateHydro,55802807,68,40,0,Yes,9704218,8404218,8,0,13,Yes,9334347,8409347,5,0,8,Yes,9002733,8411483,4,0,4,Yes,9511881,8416881,5,0,7,Yes,9607550,8421300,4,0,7,Yes,8642078,8422703,2,0,1
Philadelphia Collins,70680841,39,59,0,Yes,11984469,9984469,10,0,17,Yes,12585775,9985775,11,0,16,Yes,13100775,9985775,9,0,14,Yes,13037596,9986346,8,1,12,Yes,9986113,9986113,0,0,0,Yes,9986113,9986113,0,0,0
Saki,33498113,20,10,0,Yes,5854994,5354994,3,0,5,Yes,5604994,5354994,1,0,2,Yes,5605414,5355414,1,0,2,Yes,5403346,5403346,0,0,0,Yes,5403346,5403346,0,0,0,Yes,5626019,5406644,1,0,1
Mc,41691436,7,34,0,Yes,6875929,6175929,4,0,7,Yes,7139199,6189199,4,0,8,Yes,7282070,6190820,4,0,8,Yes,7286655,6191655,4,0,7,Yes,6695405,6191655,3,0,3,Yes,6412178,6192803,1,0,1
SithKebab,69474572,57,62,0,Yes,14414386,11614386,13,0,22,Yes,13364386,11614386,7,0,11,Yes,13263136,11614386,6,0,9,Yes,12982347,11617347,3,1,5,Yes,15450317,11617347,8,0,15,No,0,0,0,0,0
N7 Tesla,59756707,15,23,0,Yes,11008594,9208594,9,0,12,Yes,9959002,9209002,4,0,3,Yes,10982962,9209212,5,0,7,Yes,9377403,9214903,2,1,1,Yes,9214373,9214373,5,0,0,Yes,9214373,9214373,3,0,0
SecretId,37053674,3,3,0,Yes,6115704,6115704,0,0,0,Yes,6215704,6115704,1,0,1,Yes,6365704,6115704,1,0,2,Yes,6118854,6118854,0,0,0,Yes,6118854,6118854,0,0,0,Yes,6118854,6118854,0,0,0
Mr Blargh,48700779,5,12,0,Yes,8364031,7864031,4,0,5,Yes,8114229,7864229,1,0,2,Yes,7864229,7864229,0,0,0,Yes,8617979,7864229,3,0,5,Yes,7865126,7865126,0,0,0,Yes,7875185,7875185,0,0,0
MINI Mace Dymond,68493029,17,44,0,Yes,10822249,9622249,5,0,6,Yes,10229203,9629203,4,0,6,Yes,11936703,9629203,9,0,9,Yes,12178601,9631101,8,1,9,Yes,11720011,9631886,6,0,9,Yes,11606262,9631886,3,0,5
Pflapjack,54197286,26,8,0,Yes,9688853,8888853,4,0,8,Yes,8888853,8888853,0,0,0,Yes,8891568,8891568,0,0,0,Yes,8893281,8893281,0,0,0,Yes,8915671,8915671,0,0,0,Yes,8919060,8919060,0,0,0
rockoffanddie,48026936,13,31,0,Yes,8282025,6882025,9,0,11,Yes,7982235,6882235,6,0,6,Yes,8308115,6895615,6,0,6,Yes,7649365,6895615,4,1,4,Yes,7919691,6895941,3,0,3,Yes,7885505,6898317,1,0,1
Grogu,48706317,20,0,0,Yes,8108456,8108456,0,0,0,Yes,8108456,8108456,0,0,0,Yes,8108456,8108456,0,0,0,Yes,8124182,8124182,0,0,0,Yes,8127060,8127060,0,0,0,Yes,8129707,8129707,0,0,0
Thessa Odai,47965893,37,9,0,Yes,8211126,7811126,4,0,4,Yes,8136269,7811269,2,0,3,Yes,7811269,7811269,0,0,0,Yes,8159176,7817926,1,0,2,Yes,7823902,7823902,0,0,0,Yes,7824151,7824151,0,0,0
JangosJuggs,44632204,5,5,1,Yes,7896062,7296062,2,0,3,Yes,7503709,7303709,1,0,2,Yes,7303851,7303851,0,0,0,Yes,7308003,7308003,0,0,0,Yes,7310208,7310208,0,0,0,Yes,7310371,7310371,0,0,0
Wabba Dejabba,51280032,4,39,0,Yes,9105418,7605418,9,0,12,Yes,8382436,7607436,6,0,7,Yes,9079323,7609323,7,0,9,Yes,8870426,7612926,5,1,8,Yes,8000662,7618787,3,0,2,Yes,7841767,7622392,1,0,1
s0da p0pinski,70836744,40,56,0,Yes,12122257,10022257,11,0,15,Yes,11674459,10024459,8,0,11,Yes,12391832,10026832,11,0,11,Yes,12218162,10028162,10,1,10,Yes,11195787,10025787,5,0,7,Yes,11234247,10027684,3,0,2
Bobandy,58067750,54,45,0,Yes,12016631,10016631,12,0,17,Yes,11190277,10015277,7,0,10,Yes,10952403,10019903,4,0,5,No,3364851,1607351,7,1,10,Yes,10523669,10019919,2,0,3,Yes,10019919,10019919,0,0,0
8,57007284,26,11,0,Yes,9755192,9255192,4,0,5,Yes,9259712,9259712,1,0,0,Yes,9852151,9260901,3,0,4,Yes,9604641,9263391,1,1,2,Yes,9267794,9267794,0,0,0,Yes,9267794,9267794,0,0,0
PaulB086,42705313,1,17,0,Yes,8041099,6641099,6,0,8,Yes,6899652,6649652,1,0,2,Yes,6940990,6653490,2,0,2,Yes,7340308,6657808,2,0,4,Yes,6821235,6658735,1,0,1,Yes,6662029,6662029,0,0,0
DocWho619,43061021,14,3,0,Yes,8877323,8477323,1,0,1,Yes,8727491,8477491,2,0,2,Yes,8480351,8480351,0,0,0,Yes,8487802,8487802,0,0,0,Yes,8488054,8488054,0,0,0,No,0,0,0,0,0
Rensalaer,35056242,4,20,0,Yes,9560862,8060862,8,0,12,Yes,8364690,8064690,5,0,3,Yes,8122875,7872875,1,0,2,No,942726,530226,3,0,3,Yes,8065089,8065089,0,0,0,No,0,0,0,0,0
Zick,46593335,1,27,0,Yes,8082237,7182237,6,0,9,Yes,7983953,7183953,4,0,7,Yes,7867071,7184571,2,0,4,Yes,8281888,7186888,4,1,7,Yes,7189093,7189093,0,0,0,Yes,7189093,7189093,0,0,0
Yodizzle,59817024,1,26,0,Yes,10363248,9063248,6,0,7,Yes,9813248,9063248,2,0,3,Yes,10840796,9067046,9,0,8,Yes,9067046,9067046,0,1,0,Yes,9952671,9067046,6,0,5,Yes,9780015,9067046,3,0,3
TheMonkeyBuddha,50513428,4,17,0,Yes,8878388,7978388,5,0,6,Yes,8428388,7978388,2,0,4,Yes,8571577,7980327,2,0,3,Yes,8324463,7983213,1,1,2,Yes,8325931,7984681,2,0,2,Yes,7984681,7984681,0,0,0
Rh Factor,44530887,28,0,0,No,0,0,0,0,0,Yes,8901257,8901257,0,0,0,Yes,8905227,8905227,0,0,0,Yes,8905227,8905227,0,0,0,Yes,8909588,8909588,0,0,0,Yes,8909588,8909588,0,0,0
C2,49534177,12,27,0,Yes,8832745,7632745,8,0,12,Yes,7896180,7646180,1,0,2,Yes,8652206,7648456,4,0,6,Yes,8830956,7648456,4,0,7,Yes,7660940,7660940,0,0,0,Yes,7661150,7661150,0,0,0
