Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Mr Blargh,42714779,4,10,0,Yes,7386261,6886261,4,0,5,Yes,7288277,6913277,2,0,3,Yes,6922247,6922247,0,0,0,Yes,6924897,6924897,0,0,0,Yes,7266491,6925241,2,0,2,Yes,6926606,6926606,0,0,0
Pflapjack,50837808,12,5,0,Yes,9129251,8329251,3,0,5,Yes,8329494,8329494,0,0,0,Yes,8332450,8332450,0,0,0,Yes,8343738,8343738,0,0,0,Yes,8348657,8348657,0,0,0,Yes,8354218,8354218,0,0,0
rockoffanddie,38214516,26,23,0,Yes,6739927,5539927,7,0,9,Yes,6392537,5542537,5,0,4,Yes,5792537,5542537,3,0,2,Yes,6524712,5554712,3,1,3,Yes,6059179,5555429,3,0,3,Yes,6705624,5555936,2,0,2
Falen Lacer,50218592,4,25,0,Yes,8766990,7766990,4,0,7,Yes,8416990,7766990,4,0,6,Yes,8110517,7769267,1,0,2,Yes,8366365,7775115,4,0,4,Yes,8100115,7775115,2,0,2,Yes,8457615,7775115,2,0,4
MINIxurkthan,55143601,10,31,0,Yes,9787505,7987505,9,0,12,Yes,9232384,7982384,5,0,8,Yes,8902983,7970483,6,1,2,Yes,9845065,7980065,5,0,4,Yes,9028866,8005116,4,0,3,Yes,8346798,8005548,3,0,2
DonKeyHoeTae,50457131,14,25,0,Yes,7859032,7459032,3,0,4,Yes,8464189,7464189,3,0,5,Yes,8619945,7471195,3,0,4,Yes,8495831,7472081,2,0,3,Yes,9187168,7480918,4,0,7,Yes,7830966,7489716,1,0,2
JangosJuggs,36934650,1,3,1,Yes,6294483,6094483,1,0,2,Yes,6194483,6094483,1,0,1,Yes,6094483,6094483,0,0,0,Yes,6094483,6094483,0,0,0,Yes,6099139,6099139,0,0,0,Yes,6157579,6157579,0,0,0
Fortunatu,0,0,0,0,No,0,0,0,0,10,No,0,0,0,0,5,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,3,No,0,0,0,0,-18
Reaper1010,53977894,1,30,0,Yes,8885667,8185667,7,0,7,Yes,8954648,8304648,4,0,6,Yes,8941156,8316156,4,0,4,Yes,9661726,8316726,5,0,8,Yes,8990375,8324125,3,0,4,Yes,8544322,8324947,4,0,1
Bobandy,60813793,72,30,0,Yes,10325468,9425468,5,0,9,Yes,9993372,9343372,3,0,6,Yes,10093372,9343372,4,0,4,Yes,9673961,9348961,2,1,2,Yes,10875580,9348080,4,0,6,Yes,9852040,9348290,3,0,3
s0da p0pinski,65689109,34,58,0,Yes,11375857,9175857,10,0,16,Yes,10580791,9180791,6,0,9,Yes,11212850,9189100,10,0,10,Yes,11057373,9188623,5,1,8,Yes,11413164,9203164,6,0,10,Yes,10049074,9204074,5,0,5
8,52862701,53,4,0,Yes,9130934,8730934,2,0,4,Yes,8733244,8733244,0,0,0,Yes,8744493,8744493,1,0,0,Yes,8745275,8745275,0,0,0,Yes,8747239,8747239,0,0,0,Yes,8761516,8761516,0,0,0
PaulB086,33772094,1,8,0,Yes,6137228,5337228,4,0,5,Yes,5843451,5343451,2,0,1,Yes,5353686,5353686,1,0,0,Yes,5360221,5360221,0,0,0,Yes,5706815,5365565,1,0,2,Yes,5370693,5370693,1,0,0
pablomash,34750146,3,4,0,Yes,8939141,8539141,4,0,4,No,191214,191214,0,0,0,Yes,8539285,8539285,0,1,0,No,0,0,0,0,0,Yes,8539915,8539915,0,0,0,Yes,8540591,8540591,0,0,0
DocWho619,51078511,18,7,0,Yes,8902796,8302796,2,0,3,Yes,8562288,8312288,1,0,2,Yes,8314718,8314718,0,0,0,Yes,8315056,8315056,0,0,0,Yes,8661853,8320603,2,0,2,Yes,8321800,8321800,0,0,0
Rensalaer,49372062,5,19,0,Yes,8650223,7850223,4,0,8,Yes,8502165,7852165,4,0,6,Yes,7979545,7854545,2,1,1,Yes,7856066,7856066,0,0,0,Yes,8361142,7857392,2,0,3,Yes,8022921,7860421,4,0,1
Zick,44431314,5,28,0,Yes,7361075,6761075,4,0,6,Yes,7461075,6761075,3,0,6,Yes,7696650,6764150,3,0,6,Yes,7356076,6764826,2,0,4,Yes,7790094,6766344,3,0,6,Yes,6766344,6766344,1,0,0
Zazztrain,60323192,35,54,0,Yes,9248561,7948561,6,0,10,Yes,9456992,7956992,7,0,10,Yes,9996133,7972383,5,1,8,Yes,10627949,7971699,10,0,9,Yes,10528031,7976781,6,0,9,Yes,10465526,8003650,6,0,8
