Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
FateHydro,48473757,66,24,0,Yes,8465941,7565941,8,0,9,Yes,8126757,7576757,5,0,5,Yes,7954526,7579526,4,0,3,Yes,8422379,7581129,4,0,5,Yes,7751861,7589361,1,0,1,Yes,7752293,7589793,2,0,1
ItzBerndern,72203225,55,66,0,Yes,12717501,9817501,12,1,20,Yes,11379852,9829852,9,0,11,Yes,12265563,9833063,10,1,11,Yes,11105775,9832025,3,0,4,Yes,12717190,9851096,9,0,13,Yes,12017344,9854062,5,0,7
rockoffanddie,38543834,19,24,0,Yes,6897942,5597942,7,0,10,Yes,6459792,5609792,4,0,4,Yes,6864428,5614428,4,0,5,Yes,6205678,5614428,2,1,3,Yes,6480218,5635218,3,0,2,Yes,5635776,5635776,2,0,0
s0da p0pinski,65321990,40,53,0,Yes,11649232,9349232,10,0,17,Yes,10350201,9350201,3,0,5,Yes,11260039,9198789,12,0,10,Yes,11309542,9369542,8,1,9,Yes,10716865,9368115,5,0,8,Yes,10036111,9369861,5,0,4
Tango Sket,35982816,0,8,1,Yes,6239932,5839932,2,0,4,Yes,6092818,5842818,1,0,2,Yes,6094168,5844168,2,0,2,Yes,5844168,5844168,0,0,0,Yes,5855865,5855865,0,0,0,Yes,5855865,5855865,1,0,0
N7 Tesla,59447152,16,33,0,Yes,10047044,8647044,6,0,8,Yes,9797364,8647364,5,0,7,Yes,10923446,8649696,8,0,8,Yes,10682172,8650922,5,1,6,Yes,9338523,8656023,5,0,4,Yes,8658603,8658603,1,0,0
Mugami Chinzano,51996042,16,0,0,Yes,8663791,8663791,0,0,0,Yes,8663791,8663791,0,0,0,Yes,8664364,8664364,0,0,0,Yes,8666674,8666674,0,0,0,Yes,8668192,8668192,0,0,0,Yes,8669230,8669230,0,0,0
Daggo,55078246,14,21,0,Yes,9639842,8539842,5,0,8,Yes,9290829,8540829,2,0,3,Yes,8921219,8546219,3,0,3,Yes,9812562,8538812,3,1,5,Yes,8863812,8538812,2,0,2,Yes,8549982,8549982,0,0,0
Falen Lacer,50005388,4,21,0,Yes,8358291,7858291,4,0,5,Yes,8158291,7858291,5,0,3,Yes,8112427,7862427,5,0,2,Yes,8453677,7862427,5,0,4,Yes,8550726,7868226,3,0,4,Yes,8371976,7868226,4,0,3
MINIxurkthan,55059546,10,24,0,Yes,9329364,8029364,5,0,7,Yes,9179320,8029320,4,0,7,Yes,9802235,8028485,5,0,5,Yes,8699203,8016703,1,1,1,Yes,9040998,8017248,3,0,3,Yes,9008426,8021238,2,0,1
Skcampy,54687397,2,1,0,Yes,9074422,9074422,0,0,0,Yes,9074422,9074422,0,0,0,Yes,9077557,9077557,0,0,0,Yes,9077977,9077977,1,0,0,Yes,9078607,9078607,0,0,0,Yes,9304412,9085037,2,0,1
DonKeyHoeTae,49689199,23,23,0,Yes,8152129,7552129,3,0,6,Yes,8664360,7564360,4,0,6,Yes,9273750,7567500,5,0,7,Yes,7582162,7582162,0,0,0,Yes,7913100,7588100,2,0,2,Yes,8103698,7610104,2,0,2
OhMyPretzel,44053114,11,22,0,Yes,7424414,6824414,5,0,6,Yes,7229175,6829175,2,0,4,Yes,7332877,6832877,2,0,3,Yes,7674127,6832877,4,1,5,Yes,7337689,6833939,2,0,3,Yes,7054832,6835457,2,0,1
Reaper1010,55060282,5,33,0,Yes,9876151,8376151,10,0,12,Yes,9162041,8412041,4,0,7,Yes,9259084,8417834,4,0,5,Yes,9259261,8418011,5,0,5,Yes,8922310,8418560,3,0,3,Yes,8581435,8418935,3,0,1
pablomash,42786241,10,0,0,Yes,8555061,8555061,0,0,0,Yes,8557795,8557795,0,0,0,Yes,8557795,8557795,0,1,0,Yes,8557795,8557795,0,0,0,Yes,8557795,8557795,0,0,0,No,0,0,0,0,0
Ransom23,37079709,0,15,0,Yes,10253611,8653611,6,0,10,No,0,0,0,0,0,Yes,9000045,8658795,1,0,0,No,0,0,0,0,2,Yes,8659764,8659764,0,0,0,Yes,9166289,8662539,2,0,3
Salvare,56747429,6,13,0,Yes,9609810,8609810,3,0,4,Yes,9213785,8613785,2,0,2,Yes,10387535,8613785,4,0,5,Yes,8618915,8618915,0,1,0,Yes,9304622,8622122,1,0,1,Yes,9612762,8625574,2,0,1
