Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
FateHydro,56114497,67,36,6,Yes,9649534,8549534,8,0,11,Yes,8975847,8550847,7,0,4,Yes,9521700,8555450,4,0,7,Yes,9653869,8558869,5,0,7,Yes,9062818,8559068,4,0,3,Yes,9250729,8568229,3,0,4
Mugami Chinzano,53065882,6,0,0,Yes,8843187,8843187,0,0,0,Yes,8843414,8843414,0,0,0,Yes,8843414,8843414,0,0,0,Yes,8843414,8843414,0,0,0,Yes,8844764,8844764,0,0,0,Yes,8847689,8847689,0,0,0
Daggo,60163164,19,32,0,Yes,11091395,9091395,9,0,14,Yes,9916329,9116329,4,0,7,Yes,10042826,9110326,2,1,3,Yes,10547420,9111170,4,0,6,Yes,9453222,9111972,1,0,2,Yes,9111972,9111972,0,0,0
A1Savage,39636864,0,0,0,No,5230663,5230663,0,0,0,Yes,8582452,8582452,0,0,0,No,0,0,0,0,0,Yes,8601999,8601999,0,0,0,Yes,8609405,8609405,0,0,0,Yes,8612345,8612345,0,0,0
Falen Lacer,52477832,3,23,0,Yes,9123996,8123996,4,0,7,Yes,9175136,8125136,5,0,6,Yes,8380906,8130906,3,0,2,Yes,8972156,8130906,4,0,5,Yes,8130906,8130906,1,0,0,Yes,8694732,8134107,3,0,3
MINIxurkthan,63263354,6,50,2,Yes,10921883,8821883,10,0,15,Yes,10414885,8814885,8,0,11,Yes,11087071,8813321,6,0,8,Yes,11113269,8815769,5,1,7,Yes,10183168,8818168,3,0,5,Yes,9543078,8819953,4,0,4
Skcampy,61360889,7,31,0,Yes,10512248,9412248,5,0,8,Yes,10133283,9433283,4,0,6,Yes,10278461,9437211,3,0,5,Yes,10284626,9443376,3,0,5,Yes,10137073,9454573,2,0,4,Yes,10015198,9454573,2,0,3
DonKeyHoeTae,59738453,17,31,0,Yes,10078114,8878114,6,0,9,Yes,9882415,8882415,3,0,5,Yes,10844868,8888618,6,0,9,Yes,10162368,8888618,4,0,4,Yes,8891750,8891750,0,0,0,Yes,9878938,8891750,2,0,4
OhMyPretzel,41938354,8,27,2,Yes,9283228,7683228,8,0,16,Yes,7952059,7702059,2,0,2,Yes,9135189,7702689,5,0,8,Yes,7702689,7702689,0,1,0,Yes,7865189,7702689,1,0,1,No,0,0,0,0,0
Reaper1010,58057268,0,41,0,Yes,10019587,8719587,8,0,13,Yes,9478438,8728438,6,0,7,Yes,9614601,8739601,5,0,6,Yes,9620985,8795985,5,0,5,Yes,9803485,8795985,5,0,6,Yes,9520172,8797047,4,0,4
CT69420,29418003,3,3,1,Yes,7567226,7267226,3,0,3,Yes,7270037,7270037,0,0,0,Yes,7281349,7281349,0,0,0,Yes,7299391,7299391,0,1,0,No,0,0,0,0,0,No,0,0,0,0,0
pablomash,54944781,27,1,0,Yes,9224379,9124379,3,0,1,Yes,9128369,9128369,0,0,0,Yes,9141947,9141947,0,1,0,Yes,9149660,9149660,0,0,0,Yes,9149682,9149682,0,0,0,Yes,9150744,9150744,0,0,0
Ransom23,50143342,2,32,0,Yes,10368983,9168983,8,0,12,Yes,9919490,9169490,3,0,6,Yes,10266891,9175641,4,0,7,Yes,10358141,9175641,4,0,7,Yes,9180226,9180226,0,0,0,No,49611,49611,0,0,0
Salvare,55553272,16,36,0,Yes,11137930,9237930,8,0,13,No,4024547,1974547,8,0,12,Yes,9515791,9265791,1,0,1,Yes,11130791,9265791,5,1,8,Yes,9268825,9268825,3,0,0,Yes,10475388,9268825,2,0,2
Zazztrain,70611438,27,68,1,Yes,12269674,9469674,11,0,19,Yes,12339019,9489019,11,0,18,Yes,11945830,9489580,8,0,11,Yes,12720918,9490918,10,1,13,Yes,9489873,9489873,0,0,0,Yes,11846124,9489873,5,0,7
ItzBerndern,68970297,36,39,4,Yes,13288980,10388980,12,1,20,Yes,11317745,10392745,7,0,8,Yes,12173681,10399931,5,0,7,Yes,10399931,10399931,0,1,0,Yes,10400607,10400607,0,0,0,Yes,11389353,10402165,3,0,4
Aceth,39316060,0,7,0,Yes,8413500,7713500,4,0,7,No,0,0,0,0,0,Yes,7724446,7724446,0,0,0,Yes,7725528,7725528,0,0,0,Yes,7725944,7725944,0,0,0,Yes,7726642,7726642,0,0,0
Trate Daxson,51660436,3,5,0,Yes,8723950,8523950,1,0,2,Yes,8824160,8524160,2,0,3,Yes,8524160,8524160,0,0,0,Yes,8525150,8525150,1,1,0,Yes,8531508,8531508,0,0,0,Yes,8531508,8531508,0,0,0
Excelsior 101,40873205,6,5,0,Yes,7523148,7323148,1,0,2,Yes,7624384,7324384,2,0,3,No,3745996,3745996,0,0,0,Yes,7326360,7326360,0,0,0,Yes,7326570,7326570,0,0,0,Yes,7326747,7326747,0,0,0
Philadelphia Collins,73287817,35,67,1,Yes,12791791,10091791,13,0,21,Yes,12718858,10093858,11,0,16,Yes,12584662,10094662,10,0,12,Yes,13325249,10095249,8,1,13,Yes,10780336,10097836,2,0,4,Yes,11086921,10099733,1,0,1
Saki,37926352,7,29,1,Yes,6248530,5548530,4,0,7,Yes,6000989,5550989,4,0,4,Yes,6866591,5559091,5,0,6,Yes,6312841,5559091,3,0,5,Yes,6377685,5559091,3,0,4,Yes,6119716,5559091,2,0,3
Mc,42916774,11,36,0,Yes,6980876,6280876,4,0,7,Yes,7105876,6280876,4,0,7,Yes,7375847,6284597,4,0,8,Yes,7558409,6284659,4,0,8,Yes,7110383,6291789,3,0,4,Yes,6785383,6291789,1,0,2
